35,Buttermilk 0.50%,Buttermilk,1.33,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
36,Yoghurt 0.5%,Yogurt,1.33,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
37,Cheese 17% fat,Hard cheese,9.11,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
38,Cheese 30% fat,Hard cheese,9.93,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
39,Smoked cheese,Hard cheese,6.5,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
40,Cottage cheese,,3.7,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
41,Marmalade,,1.6,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
42,Mineral water no added sugar,Mineral water,1,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
43,Lemonade added sugar,Lemonade,1,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
44,Lemonade no added sugar,Lemonade,1,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
45,Water,,0.1,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
46,Tea,,0.33,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
47,Coffee,,0.33,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
48,Soy drink,,0.43,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
49,Brown beans,"Pinto beans,cowpeas,black-eyed peas",1.29,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
50,White beans,"Cannellini Beans,Butter beans,Navy beans,Pea beans,Great northern beans,Gigante beans",1.29,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
51,Soy beans,,1.29,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
52,Beer,Ale,1.1,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
53,Wine,,2.2,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
54,Dark chocolate including marzipan,"Dark chocolate,marzipan",1,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
55,Liquorice,,2.6,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
56,Sweets,,2.6,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
57,Pastry,,2.5,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
58,Pita bread,,2.5,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014 ",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
59,Apples,,0.62,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
60,Apples,,1.27,World wide,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
61,Apples,,0.46,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
62,Beef,,17.7,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
63,Beef,,32,World wide,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
64,Beef,,17.52,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
65,Bread,"White bread,wholemeal bread,brown bread",1.62,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,,,
66,Chicken,,4.26,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
67,Chicken,,3.75,World wide,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
68,Chicken,,4.1,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
69,Lettuce,,1.44,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,,,
70,Lettuce,,14.44,Rest of the World,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,,,
71,Lettuce,,1.66,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,,,
72,Eggs,,4.39,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
73,Eggs,,4.24,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
74,Milk,"Skimmed milk,semi skimmed milk,whole milk",1.72,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
75,Pears,,0.62,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
76,Pears,,1.27,World wide,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
77,Pears,,0.46,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
78,Pig meat,"Pork,Ham",6.58,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
79,Pig meat,"Pork,Ham",6.42,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
80,Potatoes,,0.74,Europe,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
81,Potatoes,,0.38,UK,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
82,Rice,,5.05,World wide,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Scottish Government 2011,Emission Factors,https://emissionfactors.com
83,Seeds - corn,Corn,1.93,World wide,A Low Carbon Route Map. Planning and Measuring Emission Savings for Climate Challenge Fund Projects. Version 1.0.,Ecoinvent 2.2 (2010),Emission Factors,https://emissionfactors.com
